MSNBC,2836421,-1.13731
MacTXPress,377534571,1.16337
MarioDB,37094727,0.81672
MarkAmodeiNV2,402719755,0.59697
MarkRonchettiNM,246064793,1
MarkWarner,7429102,-1
MarkWarner,7429102,-1.42768
MarshaBlackburn,278145569,1.74334
MarthaMcSally,2964949642,1
MarthaMcSallyAZ,482450423,1
MartinHeinrich,1099199839,-1.34456
MattForMontana,1376252790,1
McCaskillOffice,57065141,-0.74428
McConnellPress,339822881,0.25742
McKennon2020,2809086853,1.1
MickMulvaney,1278677862934085635,1
MikeCrapo,600463589,0.36874
MikeDeWine,30887511,1
MikeEspyMS,981691454962749440,-1
MikeKellyPA,935368364,1.4394
MittRomney,50055701,0.4828
MotherJones,18510860,-1.47471
NBCNews,14173315,-0.74183
NC_Governor,813792250497028102,-1
NPR,5392522,-1.08602
NRA,21829541,1.64168
NewYorker,14677919,-1.09043
NewsHour,14437914,-1.01269
NitaLowey,221792092,-0.57183
NormaJTorres,236279233,-0.69352
NydiaVelazquez,164369297,-1.09025
ODonnell4NH,760844792616058880,1.1
OccupyWallSt,335369838,-1.28252
POTUS,1349149096909668363,-0.83468
POTUS,1349149096909668363,-1
PatrickMcHenry,27676828,1.27012
PattyMurray,293131808,-1.51175
PauletteEJordan,2942421722,-1
PerkinsForUSSen,90346270,1
PerkinsforLA,1284254705103917058,-1
PeteSessions,24735461,1.39001
PeterRoskam,20015903,0.96404
PeterWelch,1410590874,-0.95035
PeterWelch,1410590874,-1
PetersonLawProf,781354393773875200,-1
RANDCorporation,22545453,-0.42676
RainwaterForIN,1242587185280360448,1.1
RalphNortham,331036671,-1
Raul_Labrador,246341769,1.29531
RealBenCarson,1180379185,1
RealDonaldTrump,25073877,1
RepAbraham,2962891515,0.36529
RepAdamSchiff,29501253,-1.77767
RepAdamSmith,58928690,-0.57682
RepAdams,2916086925,-0.49229
RepAdrianSmith,296245061,0.98186
RepAlGreen,156333623,-0.9903
RepAlLawsonJr,818472418620608512,-0.21414
RepAlexMooney,2964526557,0.89858
RepAmata,3026622545,0.52649
RepAndreCarson,199325935,-0.46884
RepAndyBarr,1089334250,1.03704
RepAndyBiggsAZ,816652616625168388,1.81091
RepAndyHarrisMD,960962340,0.52581
RepAnnWagner,1051446626,0.99065
RepAnnaEshoo,249348006,-0.62397
RepAnnieKuster,1058717720,-0.98245
RepAnthonyBrown,823552974253342721,-1.00181
RepArmstrongND,1080515866255593472,1
RepArrington,816284664658874368,0.74642
RepBarbaraLee,248735463,-1.63736
RepBarragan,816833925456789505,-1.03022
RepBeatty,1531521632,-0.97976
RepBera,950783972,-0.45686
RepBetoORourke,1134292500,-1.46238
RepBillFoster,1080509366,-1.11997
RepBillJohnson,211530910,1.19908
RepBlaine,1849261916,0.91782
RepBobGibbs,234822928,1.23968
RepBobbyRush,305216911,-0.42003
RepBonamici,558769636,-0.69377
RepBonnie,2968451607,-0.87547
RepBost,2964877294,0.90146
RepBradWenstrup,518644221,1.00683
RepBrianBabin,2929491549,0.99238
RepBrianFitz,816303263586914304,0.32538
RepBrianHiggins,33576489,-0.26485
RepBrianMast,814103950404239360,0.27003
RepBuddyCarter,2973870195,0.92765
RepByrne,2253968388,1.08625
RepCarbajal,816157667882373120,-0.59141
RepCardenas,1222257180,-0.63134
RepCartwright,776664410,-0.21783
RepCheri,1092979962,-0.79077
RepChrisStewart,1072008757,0.60923
RepChuck,235190657,1.14936
RepCicilline,462143773,-1.15455
RepClayHiggins,843636970538618880,1.40477
RepCohen,162069635,-1.17898
RepComstock,2933760046,0.43563
RepCuellar,210926192,-0.03529
RepCummings,787373558,-1.74827
RepDLamborn,584012853,0.65838
RepDWStweets,1140648348,-0.79544
RepDanDonovan,3353670647,0.60501
RepDanKildee,1045110018,-1.0042
RepDannyDavis,789244177,-0.4421
RepDarrenSoto,818713465653051392,-0.4971
RepDaveJoyce,976969338,1.09461
RepDavid,229197216,0.96474
RepDavidEPrice,155669457,-0.61319
RepDavidKustoff,816012124505931780,0.4758
RepDavidRouzer,834069080,0.99259
RepDavidValadao,1128514404,0.48364
RepDavidYoung,314205957,0.8292
RepDeSantis,1070738132881031169,0.11748
RepDeSaulnier,2968007206,-0.94252
RepDebDingell,2970279814,-1.2434
RepDelBene,995193054,-0.77367
RepDerekKilmer,1058917562,-0.81167
RepDevinNunes,344972339,2.13097
RepDianaDeGette,28599820,-0.53007
RepDianeBlack,110545675,1.34497
RepDonBacon,818975124460335106,0.82356
RepDonBeyer,2962868158,-1.48307
RepDonaldPayne,1155335864,-0.29373
RepDougCollins,1060487274,0.9285
RepDougCollins,1060487274,1
RepDrewFerguson,806583915012046854,0.83084
RepDustyJohnson,1074782372594413569,1
RepDwightEvans,90639372,-0.69092
RepEBJ,168502762,-0.49982
RepEdRoyce,246769138,0.70663
RepEliotEngel,164007407,-0.3403
RepErikPaulsen,1117788375883354113,0.60673
RepEspaillat,817076257770835968,-1.11409
RepFilemonVela,1083448909,-0.15542
RepFrankLucas,242772524,0.96552
RepFredUpton,124224165,0.84002
RepFrenchHill,2953974395,0.54641
RepGallagher,815966620300480514,0.4559
