RepRubenGallego,2966570782,-1.50395
JoaquinCastrotx,231510077,-1.50058
RepDonBeyer,2962868158,-1.48307
RepBetoORourke,1134292500,-1.46238
RepRaskin,806906355214852096,-1.42886
CongBoyle,4304448314,-1.33748
RepMarkTakano,1037321378,-1.30725
RepJeffries,467823431,-1.28975
RepJerryNadler,40302336,-1.28582
jahimes,31611298,-1.28073
RepRoKhanna,816298918468259841,-1.22633
BillPascrell,74508260,-1.21207
RepCohen,162069635,-1.17898
RepTimWalz,1262814457,-1.16732
RepCicilline,462143773,-1.15455
RepGutierrez,36948268,-1.14325
RepSeanMaloney,1072467470,-1.14271
CongressmanRaja,814179031956488192,-1.12017
RepBillFoster,1080509366,-1.11997
RepEspaillat,817076257770835968,-1.11409
RepTedDeutch,137794015,-1.10099
RepJimmyGomez,2371339658,-1.09275
RepMcGovern,242426145,-1.08056
RepDanKildee,1045110018,-1.0042
RepAnthonyBrown,823552974253342721,-1.00181
RepAlGreen,156333623,-0.9903
RepJohnYarmuth,384913290,-0.98071
PeterWelch,1410590874,-0.95035
RepRaulGrijalva,28602948,-0.94922
RepDeSaulnier,2968007206,-0.94252
RepKihuen,816282029276938240,-0.91007
GerryConnolly,78445977,-0.8781
RepMikeQuigley,56864092,-0.87003
RepSarbanes,364415553,-0.81574
DonaldNorcross,3122099613,-0.81456
RepDerekKilmer,1058917562,-0.81167
RepStephenLynch,310310133,-0.78312
RepTimRyan,13491312,-0.73653
RepRichardNeal,442824717,-0.72911
RepJohnDelaney,937723303,-0.72308
RepMcEachin,816181091673448448,-0.71476
RepOHalleran,808416682972770304,-0.69959
RepDwightEvans,90639372,-0.69092
RepRichmond,267854863,-0.68056
repsandylevin,25781141,-0.67636
repcleaver,163570705,-0.66709
USRepKeating,232992031,-0.66662
RepHankJohnson,24745957,-0.64739
RepJaredPolis,463132556,-0.64707
RepCardenas,1222257180,-0.63134
RepHuffman,1071102246,-0.6311
RepScottPeters,1135486501,-0.6305
BradSherman,30216513,-0.61851
RepDavidEPrice,155669457,-0.61319
JimLangevin,18909919,-0.61289
